 ****************** Start US v. 1.92 at 2018-02-27 11:54:40 ******************
 
 US run
 energy   6.040 GeV   current 200.0 mA
 sigx    0.3950  mm   sigy   0.0099 mm   sigx1  0.0105 mr   sigy1  0.0039 mr
 period   1.800  cm   N         222      Kx      0.000      Ky      1.680
 emin    3000.0  eV   emax  55000.0 eV   ne        500
 d       30.000   m   xpc     0.000 mm   ypc     0.000 mm
 xps      1.000  mm   yps     1.000 mm   nxp        50      nyp        50
 mode         4       method      4      iharm       0   
 nphi        20       nalpha     15      calpha2   2.0
 nomega      64       comega    8.0      nsigma      3
 
 e1      7982.2  eV   l1      1.553  A
 ptot   18431.2   W   pd      693.7  W/mm^2
 
 
 Flux through   1.000 mm x  1.000 mm pinhole at  0.000 mm,  0.000 mm @ 30.000 m:
 Integrated flux   1.600E+17 ph/s
 Integrated power      451.4 W
 Contributing harmonics    1 to    9
 
 Energy(eV)   Flux(ph/s/0.1%bw)   p1      p2      p3      p4
   3000.000   0.000000E+00     0.000   0.000   0.000   0.000
   3104.000   0.000000E+00     0.000   0.000   0.000   0.000
   3208.000   0.000000E+00     0.000   0.000   0.000   0.000
   3312.000   0.000000E+00     0.000   0.000   0.000   0.000
   3416.000   0.000000E+00     0.000   0.000   0.000   0.000
   3520.000   0.000000E+00     0.000   0.000   0.000   0.000
   3624.000   0.000000E+00     0.000   0.000   0.000   0.000
   3728.000   0.000000E+00     0.000   0.000   0.000   0.000
   3832.000   0.000000E+00     0.000   0.000   0.000   0.000
   3936.000   0.000000E+00     0.000   0.000   0.000   0.000
   4040.000   0.000000E+00     0.000   0.000   0.000   0.000
   4144.000   0.000000E+00     0.000   0.000   0.000   0.000
   4248.000   0.000000E+00     0.000   0.000   0.000   0.000
   4352.000   0.000000E+00     0.000   0.000   0.000   0.000
   4456.000   0.000000E+00     0.000   0.000   0.000   0.000
   4560.000   0.000000E+00     0.000   0.000   0.000   0.000
   4664.000   0.000000E+00     0.000   0.000   0.000   0.000
   4768.000   0.000000E+00     0.000   0.000   0.000   0.000
   4872.000   0.000000E+00     0.000   0.000   0.000   0.000
   4976.000   0.000000E+00     0.000   0.000   0.000   0.000
   5080.000   0.000000E+00     0.000   0.000   0.000   0.000
   5184.000   0.000000E+00     0.000   0.000   0.000   0.000
   5288.000   0.000000E+00     0.000   0.000   0.000   0.000
   5392.000   0.000000E+00     0.000   0.000   0.000   0.000
   5496.000   0.000000E+00     0.000   0.000   0.000   0.000
   5600.000   0.000000E+00     0.000   0.000   0.000   0.000
   5704.000   0.000000E+00     0.000   0.000   0.000   0.000
   5808.000   0.000000E+00     0.000   0.000   0.000   0.000
   5912.000   0.000000E+00     0.000   0.000   0.000   0.000
   6016.000   1.342515E+06     0.888   0.000   0.000   0.112
   6120.000   1.119575E+08     0.931   0.000   0.000   0.069
   6224.000   1.026891E+09     0.943   0.000   0.000   0.057
   6328.000   1.811341E+10     0.927   0.000   0.000   0.073
   6432.000   1.425161E+11     0.949   0.000   0.000   0.051
   6536.000   4.695258E+11     0.959   0.000   0.000   0.041
   6640.000   1.170473E+12     0.965   0.000   0.000   0.035
   6744.000   2.553626E+12     0.971   0.000   0.000   0.029
   6848.000   5.167959E+12     0.975   0.000   0.000   0.025
   6952.000   9.955831E+12     0.979   0.000   0.000   0.021
   7056.000   1.853864E+13     0.983   0.000   0.000   0.017
   7160.000   3.373819E+13     0.986   0.000   0.000   0.014
   7264.000   6.041376E+13     0.988   0.000   0.000   0.012
   7368.000   1.073892E+14     0.991   0.000   0.000   0.009
   7472.000   1.908091E+14     0.993   0.000   0.000   0.007
   7576.000   3.437343E+14     0.995   0.000   0.000   0.005
   7680.000   6.484759E+14     0.997   0.000   0.000   0.003
   7784.000   1.323227E+15     0.999   0.000   0.000   0.001
   7888.000   2.542685E+15     1.000   0.000   0.000   0.000
   7992.000   8.129914E+14     1.000   0.000   0.000   0.000
   8096.000   3.080775E+13     1.000   0.000   0.000   0.000
   8200.000   6.899899E+12     1.000   0.000   0.000   0.000
   8304.000   0.000000E+00     0.000   0.000   0.000   0.000
   8408.000   0.000000E+00     0.000   0.000   0.000   0.000
   8512.000   0.000000E+00     0.000   0.000   0.000   0.000
   8616.000   0.000000E+00     0.000   0.000   0.000   0.000
   8720.000   0.000000E+00     0.000   0.000   0.000   0.000
   8824.000   0.000000E+00     0.000   0.000   0.000   0.000
   8928.000   0.000000E+00     0.000   0.000   0.000   0.000
   9032.000   0.000000E+00     0.000   0.000   0.000   0.000
   9136.000   0.000000E+00     0.000   0.000   0.000   0.000
   9240.000   0.000000E+00     0.000   0.000   0.000   0.000
   9344.000   0.000000E+00     0.000   0.000   0.000   0.000
   9448.000   0.000000E+00     0.000   0.000   0.000   0.000
   9552.000   0.000000E+00     0.000   0.000   0.000   0.000
   9656.000   0.000000E+00     0.000   0.000   0.000   0.000
   9760.000   0.000000E+00     0.000   0.000   0.000   0.000
   9864.000   0.000000E+00     0.000   0.000   0.000   0.000
   9968.000   0.000000E+00     0.000   0.000   0.000   0.000
  10072.000   0.000000E+00     0.000   0.000   0.000   0.000
  10176.000   0.000000E+00     0.000   0.000   0.000   0.000
  10280.000   0.000000E+00     0.000   0.000   0.000   0.000
  10384.000   0.000000E+00     0.000   0.000   0.000   0.000
  10488.000   0.000000E+00     0.000   0.000   0.000   0.000
  10592.000   0.000000E+00     0.000   0.000   0.000   0.000
  10696.000   0.000000E+00     0.000   0.000   0.000   0.000
  10800.000   0.000000E+00     0.000   0.000   0.000   0.000
  10904.000   0.000000E+00     0.000   0.000   0.000   0.000
  11008.000   0.000000E+00     0.000   0.000   0.000   0.000
  11112.000   0.000000E+00     0.000   0.000   0.000   0.000
  11216.000   0.000000E+00     0.000   0.000   0.000   0.000
  11320.000   0.000000E+00     0.000   0.000   0.000   0.000
  11424.000   0.000000E+00     0.000   0.000   0.000   0.000
  11528.000   0.000000E+00     0.000   0.000   0.000   0.000
  11632.000   0.000000E+00     0.000   0.000   0.000   0.000
  11736.000   0.000000E+00     0.000   0.000   0.000   0.000
  11840.000   0.000000E+00     0.000   0.000   0.000   0.000
  11944.000   0.000000E+00     0.000   0.000   0.000   0.000
  12048.000   0.000000E+00     0.000   0.000   0.000   0.000
  12152.000   0.000000E+00     0.000   0.000   0.000   0.000
  12256.000   1.512682E+05     0.975   0.000   0.000   0.025
  12360.000   2.763135E+07     0.983   0.000   0.000   0.017
  12464.000   2.981041E+08     0.987   0.000   0.000   0.013
  12568.000   4.351869E+09     0.984   0.000   0.000   0.016
  12672.000   4.422577E+10     0.987   0.000   0.000   0.013
  12776.000   1.563763E+11     0.991   0.000   0.000   0.009
  12880.000   3.487145E+11     0.993   0.000   0.000   0.007
  12984.000   6.439441E+11     0.994   0.000   0.000   0.006
  13088.000   1.072555E+12     0.995   0.000   0.000   0.005
  13192.000   1.671257E+12     0.996   0.000   0.000   0.004
  13296.000   2.486151E+12     0.996   0.000   0.000   0.004
  13400.000   3.582197E+12     0.997   0.000   0.000   0.003
  13504.000   5.036271E+12     0.998   0.000   0.000   0.002
  13608.000   6.940221E+12     0.998   0.000   0.000   0.002
  13712.000   9.405857E+12     0.999   0.000   0.000   0.001
  13816.000   1.256584E+13     0.999   0.000   0.000   0.001
  13920.000   1.659431E+13     0.999   0.000   0.000   0.001
  14024.000   2.167467E+13     1.000   0.000   0.000   0.000
  14128.000   2.802998E+13     1.000   0.000   0.000   0.000
  14232.000   3.593038E+13     1.000   0.000   0.000   0.000
  14336.000   4.564472E+13     1.000   0.000   0.000   0.000
  14440.000   5.752431E+13     1.000   0.000   0.000   0.000
  14544.000   7.187231E+13     1.000   0.000   0.000   0.000
  14648.000   8.907551E+13     0.999   0.000   0.000   0.001
  14752.000   1.094602E+14     0.999   0.000   0.000   0.001
  14856.000   1.332683E+14     0.998   0.000   0.000   0.002
  14960.000   1.605907E+14     0.996   0.000   0.000   0.004
  15064.000   1.911551E+14     0.995   0.000   0.000   0.005
  15168.000   2.245091E+14     0.992   0.000   0.000   0.008
  15272.000   2.593173E+14     0.988   0.000   0.000   0.012
  15376.000   2.931027E+14     0.981   0.000   0.000   0.019
